Vile,Lat,Lon
"Paris","48.886933","2.334836"
"Paris","48.833868","2.321821"
"Versailles","48.803413","2.147692"
"Paris","48.859066","2.279786"
"","48.792784","2.108038"
"Versailles","48.81144","2.138852"
"Paris","48.875044","2.319998"
"Paris","48.841419","2.307009"
"Paris","48.836561","2.291216"
"Paris","48.885797","2.351305"
"Paris","48.830952","2.33128"
"Paris","48.827336","2.32716"
"Boulogne-Billancourt","48.837013","2.239375"
"Paris","48.82598","2.343639"
"Paris","48.831304","2.320748"
"Paris","48.826501","2.345124"
"Paris","48.821372","2.345562"
"Boulogne-Billancourt","48.844595","2.234076"
"Paris","48.83338","2.359467"
"Paris","48.830329","2.360883"
"Paris","48.886933","2.334836"
"Paris","48.833868","2.321821"
"Versailles","48.803413","2.147692"
"Paris","48.859066","2.279786"
"","48.792784","2.108038"
"Versailles","48.81144","2.138852"
"Paris","48.875044","2.319998"
"Paris","48.841419","2.307009"
"Paris","48.836561","2.291216"
"Paris","48.885797","2.351305"
"Paris","48.830952","2.33128"
"Paris","48.827336","2.32716"
"Boulogne-Billancourt","48.837013","2.239375"
"Paris","48.82598","2.343639"
"Paris","48.831304","2.320748"
"Paris","48.826501","2.345124"
"Paris","48.821372","2.345562"
"Boulogne-Billancourt","48.844595","2.234076"
"Paris","48.83338","2.359467"
"Paris","48.830329","2.360883"
"Paris","48.886933","2.334836"
"Paris","48.833868","2.321821"
"Versailles","48.803413","2.147692"
"Paris","48.859066","2.279786"
"","48.792784","2.108038"
"Versailles","48.81144","2.138852"
"Paris","48.875044","2.319998"
"Paris","48.841419","2.307009"
"Paris","48.836561","2.291216"
"Paris","48.885797","2.351305"
"Paris","48.830952","2.33128"
"Paris","48.827336","2.32716"
"Boulogne-Billancourt","48.837013","2.239375"
"Paris","48.82598","2.343639"
"Paris","48.831304","2.320748"
"Paris","48.826501","2.345124"
"Paris","48.821372","2.345562"
"Boulogne-Billancourt","48.844595","2.234076"
"Paris","48.83338","2.359467"
"Paris","48.830329","2.360883"
"Paris","48.886933","2.334836"
"Paris","48.833868","2.321821"
"Versailles","48.803413","2.147692"
"Paris","48.859066","2.279786"
"","48.792784","2.108038"
"Versailles","48.81144","2.138852"
"Paris","48.875044","2.319998"
"Paris","48.841419","2.307009"
"Paris","48.836561","2.291216"
"Paris","48.885797","2.351305"
"Paris","48.830952","2.33128"
"Paris","48.827336","2.32716"
"Boulogne-Billancourt","48.837013","2.239375"
"Paris","48.82598","2.343639"
"Paris","48.831304","2.320748"
"Paris","48.826501","2.345124"
"Paris","48.821372","2.345562"
"Boulogne-Billancourt","48.844595","2.234076"
"Paris","48.83338","2.359467"
"Paris","48.830329","2.360883"
"Paris","48.886933","2.334836"
"Paris","48.833868","2.321821"
"Versailles","48.803413","2.147692"
"Paris","48.859066","2.279786"
"","48.792784","2.108038"
"Versailles","48.81144","2.138852"
"Paris","48.875044","2.319998"
"Paris","48.841419","2.307009"
"Paris","48.836561","2.291216"
"Paris","48.885797","2.351305"
"Paris","48.830952","2.33128"
"Paris","48.827336","2.32716"
"Boulogne-Billancourt","48.837013","2.239375"
"Paris","48.82598","2.343639"
"Paris","48.831304","2.320748"
"Paris","48.826501","2.345124"
"Paris","48.821372","2.345562"
"Boulogne-Billancourt","48.844595","2.234076"
"Paris","48.83338","2.359467"
"Paris","48.830329","2.360883"
"Paris","48.886933","2.334836"
"Paris","48.833868","2.321821"
"Versailles","48.803413","2.147692"
"Paris","48.859066","2.279786"
"","48.792784","2.108038"
"Versailles","48.81144","2.138852"
"Paris","48.875044","2.319998"
"Paris","48.841419","2.307009"
"Paris","48.836561","2.291216"
"Paris","48.885797","2.351305"
"Paris","48.830952","2.33128"
"Paris","48.827336","2.32716"
"Boulogne-Billancourt","48.837013","2.239375"
"Paris","48.82598","2.343639"
"Paris","48.831304","2.320748"
"Paris","48.826501","2.345124"
"Paris","48.821372","2.345562"
"Boulogne-Billancourt","48.844595","2.234076"
"Paris","48.83338","2.359467"
"Paris","48.830329","2.360883"
