ID_Polluant,taux_moyen_jour,Ville,status
NO2,44.198746,Paris,Normal
CO,8987.0,Neuilly-sur-seine,Normal
O3,199.4,Versailles,Alerte_pollution
PM10,0.1,Boulogne-Billancourt,Normal
PM10,1827.6875,Puteaux,Alerte_pollution
O3,234.65,Sonchamp,Alerte_pollution
O3,0.087,Boulogne-Billancourt,Normal
O3,157.1,Gennevillier,Alerte_pollution
O3,41.57,Puteaux,Normal
O3,145.7,Neuilly-sur-seine,Alerte_pollution
PM10,86.02,Sonchamp,Alerte_pollution
NO2,100.5,Gennevillier,Normal
PM10,4.78967,,Normal
NO2,2748.7466,Puteaux,Alerte_pollution
CO,7.0,Gennevillier,Normal
PM10,25.563667,Paris,Normal
NO2,645.8167,,Alerte_pollution
CO,5076.15,,Normal
CO,4027.335,Paris,Normal
O3,145.7,,Alerte_pollution
O3,234.65,,Alerte_pollution
O3,38.0,Paris,Normal
